c 0055         00 23 59.40  15 46 13.50 NGC 0099                  5308   4  0.81 -20.34  9.93 -09.91  2.76  5309   1 142  170  8.98 0.33  23.7   44.6 10.09  0.16
c 0056         00 24 25.90  14 04 10.30 ASK 147870                4269   2  0.17 -18.32  8.45 -08.81  1.48  4276  18  84  121  0.31 0.15   2.9    3.7  8.43 -0.02
c 0057         00 24 42.69  14 49 28.40 UGC 0233                  5276   3  1.01 -19.76  9.95 -10.27  2.26  5277   2 136  155  2.27 0.26   9.3   14.1  9.48 -0.47
c 0060         00 25 28.86 -08 48 26.60 2MASX J00252890-0848260   6313   4  0.98 -19.78  9.66 -10.10  2.12  6301   4 238  254  1.66 0.31   4.8    8.3  9.50 -0.16
c 0062         00 26 24.97  01 01 12.00 UGC 0252                  5350  11  0.84 -18.38  9.41 -11.96  2.75  5347  11 162  194  1.44 0.35   4.0    6.7  9.30 -0.11
c 0063         00 27 49.70 -01 11 59.90 UGC 0272                  3898   4  0.77 -19.68  9.37 -10.09  2.62  3891   2 243  259  5.74 0.39  11.6   23.1  9.62  0.26
c 0064         00 27 53.80 -00 58 00.50 PGC 3107905               4345   1  0.54 -17.39  8.31 -09.50  1.54  4316   9 121  144  0.43 0.17   3.6    4.2  8.59  0.27
c 0065 N       00 28 03.90  14 18 06.40 PGC 2816194               4543   3  0.64 -16.70  8.38 -09.61  3.06  4541  11  66  108  1.07 0.29   5.0    7.0  9.03  0.64
c 0066 N       00 29 16.80 -01 00 25.30 KUG 0026-012              4000   1  0.38 -17.50  6.22 -08.85  1.33  4000   6  86  101  0.28 0.12   3.5    3.8  8.34  2.12
c 0068         00 29 38.40  00 24 37.40 KUG 0027+001              4151   2  0.64 -18.78  9.22 -09.79  2.19  4156  15  75  132  0.95 0.23   5.5    8.3  8.90 -0.32
c 0070         00 30 07.30 -11 06 49.10 2MASX J00300730-1106491   3527   4  1.37 -21.46 10.45 -11.32  2.65  3515   3 332  350  4.79 0.46   8.1   16.3  9.45 -0.99
c 0071         00 30 09.00 -09 57 11.80 Mrk 0951                  5129   2  1.04 -20.45  9.85 -09.71  1.58  5145  23 217  324  1.85 0.26   6.5   13.0  9.37 -0.47
c 0072 C1      00 30 29.80 -08 46 59.80 2MASX J00302984-0847002   5388   5  0.96 -21.00 10.01 -10.15  2.76  5357   8 271  311  3.42 0.45   6.5   12.3  9.67 -0.34
c 0073 C3F     00 31 13.30 -10 29 01.40 2MASX J00311327-1028518   3500   2  0.99 -20.61  6.64 -08.25  2.71  3589   4 233  300 11.26 0.43  22.2   44.8  9.85  3.20
c 0074 C1      00 31 21.90 -10 24 25.50 ASK 126658                3660   1  0.46 -16.89  8.06 -09.37  2.55  3570   8 278  353  8.08 0.44  13.7   31.4  9.70  1.64
c 0075 C1      00 31 22.30 -10 22 42.70 ASK 126660                3524   3  0.33 -15.89  7.78 -09.45  2.56  3571   8 232  313  6.42 0.42  13.9   27.1  9.60  1.82
c 0076 C1      00 31 27.50 -10 40 33.10 SHOC 020                  3522   2  0.60 -16.69  7.71 -09.08  4.58  3546  36 113  293  4.89 0.72   7.1   16.5  9.45  1.74
c 0077 C3F     00 31 35.97 -10 30 17.30 2MASX J00313571-1030228   3583   3  1.37 -20.77  8.60    ---  2.92  3525   9 246  365 11.93 0.51  18.7   42.8  9.85  1.25
c 0079         00 31 40.70 -09 34 34.30 ASK 126851                3395   2  0.06 -15.68  7.70 -09.14  1.78  3389  20  67  129  0.59 0.19   4.4    6.7  8.52  0.82
c 0080         00 32 31.30 -10 41 22.10 ASK 126629                3156   4  0.49 -16.18  7.81 -09.36  1.78  3155  10 111  142  0.74 0.20   4.5    6.5  8.55  0.74
c 0081 F       00 32 48.96 -10 00 43.70 2MASX J00255246-0939427   3859   4   --- -19.17  8.97 -09.91  2.24  3853   3  93  123  2.37 0.23  11.3   18.0  9.23  0.26
c 0082         00 33 22.10 -01 07 16.70 UGC 0328                  1989   4  0.78 -17.11  8.27 -10.37  2.69  1986   1 143  169 13.37 0.32  40.2   68.7  9.40  1.14
c 0083         00 34 02.80 -09 42 19.20 NGC 0151                  3732   3  1.73 -22.79 11.08 -11.74  2.69  3744   1 460  478 16.32 0.54  19.1   46.5 10.04 -1.04
c 0085 C1      00 34 57.90 -09 20 31.90 2MASX J00345797-0920323   6942   3  1.37 -22.19 10.75 -11.85  1.83  6960   7 133  158  0.81 0.21   4.6    6.2  9.27 -1.47
c 0086         00 35 26.30 -09 45 37.10 PGC 986776                4078   4  0.75 -18.05  8.72 -09.86  2.12  4068   6 176  190  0.70 0.27   2.9    4.1  8.74  0.02
c 0088 N       00 36 28.90 -10 06 22.10 NGC 0165                  5889   2  1.35 -22.31 10.75 -10.75  2.52  5895  12 319  365  2.76 0.44   5.2   10.0  9.66 -1.08
c 0089 NC1     00 36 38.40 -10 08 44.20 ASK 126563                6032   1  0.44 -17.55  7.48 -09.95  2.46  6022  73 225  551  2.43 0.53   6.4   10.8  9.61  2.12
c 0090         00 37 10.60 -09 27 25.10 Mrk 0954                  5229   1  0.57 -20.25  9.58 -09.28  1.29  5228  14  93  179  1.20 0.16   8.6   15.8  9.20 -0.38
c 0091 NZF     00 37 55.89 -09 15 11.20 2MASX J00375747-0915092   5317  45  0.91 -21.60   ---    ---  2.70  5243   4 177  214  5.65 0.36  11.9   25.7  9.87  9.87
c 0093 C1      00 39 13.75  00 51 42.40 NGC 0192                  4177   3  1.62 -20.69 10.90 -10.70  2.64  4217   8 342  370  2.19 0.47   5.0    7.4  9.27 -1.63
