Source 	RA 	Dec 	Name 	V opt 	g−z 	M g 	M ⋆ 	sSFR 	rms 	V HI 	W 50 	W 20 	F HI 	SNR 	S / N 	M HI 	MHI/M⋆	
0987M 	10 04 25.10 	02 33 31.00 	ASK 68781 	1125 ± 2 	−0.38 	−11.91 	7.12 	−9.59 	0.55 	1131 ± 2 	32 	53 	0.33 ± 0.04 	12.5 	17.2 	7.30 	0.19
0991M 	10 06 10.80 	11 06 02.10 	ASK 295498 	2499 ± 1 	0.48 	−16.95 	6.10 	−8.41 	0.62 	2509 ± 3 	101 	123 	0.58 ± 0.07 	9.1 	15.2 	8.24 	2.15
1017 	10 16 59.00 	03 42 35.40 	ASK 95821 	1204 ± 1 	0.63 	−14.10 	− 	− 	0.58 	1212 ± 3 	29 	46 	0.17 ± 0.04 	8.2 	8.7 	7.07 	−
1030 	10 19 59.90 	24 47 24.60 	ASK 596355 	1258 ± 1 	0.42 	−14.06 	7.08 	−9.48 	0.63 	1256 ± 4 	35 	56 	0.17 ± 0.04 	7.4 	7.3 	7.10 	0.02
1069 	10 35 11.10 	25 27 04.00 	PGC 4243890 	1298 ± 1 	0.24 	−13.32 	6.62 	−8.98 	0.53 	1297 ± 4 	34 	56 	0.16 ± 0.04 	7.4 	8.4 	7.11 	0.49
1095 	10 44 20.70 	14 05 04.00 	NGC 3357 	9770 ± 2 	1.51 	−22.32 	11.41 	−12.52 	0.77 	9740 ± 11 	113 	152 	0.39 ± 0.09 	5.2 	7.6 	9.25 	−2.16
1147 	11 00 47.10 	16 52 55.50 	PGC 4260762 	1136 ± 2 	0.51 	−13.25 	6.93 	−9.56 	1.06 	1132 ± 5 	41 	59 	0.21 ± 0.08 	4.9 	5.1 	7.12 	0.19
1166 	11 07 09.90 	28 22 31.90 	PGC 1833985 	1003 ± 1 	0.42 	−13.87 	7.09 	−9.49 	0.48 	1006 ± 4 	42 	79 	0.34 ± 0.04 	11.8 	18.0 	7.22 	0.13
1260D 	11 25 04.00 	28 09 35.60 	PGC 4546173 	1593 ± 1 	−0.01 	−14.24 	6.76 	−8.80 	0.85 	1580 ± 9 	38 	65 	0.16 ± 0.07 	4.2 	4.8 	7.27 	0.51
1388 	11 47 06.90 	03 06 23.00 	ASK 74477 	1016 ± 2 	0.44 	−13.16 	6.71 	−9.29 	0.19 	1021 ± 2 	31 	53 	0.09 ± 0.01 	11.0 	13.1 	6.64 	−0.08
1419 	11 52 24.06 	32 24 13.90 	NGC 3935 	3066 ± 2 	1.37 	−19.60 	10.22 	−10.77 	0.51 	3075 ± 19 	78 	152 	0.27 ± 0.06 	5.7 	9.9 	8.09 	−2.12
1424 	11 53 00.30 	16 02 29.40 	ASK 436517 	905 ± 29 	0.63 	−12.08 	− 	− 	0.58 	931 ± 4 	27 	42 	0.09 ± 0.04 	4.6 	5.0 	6.59 	−
1453 	11 57 25.10 	02 11 15.90 	PGC 1218832 	1019 ± 1 	0.49 	−13.16 	6.80 	−9.49 	0.62 	1019 ± 3 	35 	56 	0.22 ± 0.04 	8.9 	9.7 	7.04 	0.24
1751M 	12 54 12.60 	00 48 09.10 	CGCG 015-035 	1191 ± 1 	0.64 	−15.29 	− 	− 	0.65 	1197 ± 2 	61 	81 	0.62 ± 0.06 	12.6 	20.0 	7.63 	−
1807 	13 09 36.90 	31 40 34.00 	PGC 1958740 	2159 ± 4 	−0.05 	−15.06 	7.56 	−9.91 	0.25 	2156 ± 4 	41 	79 	0.24 ± 0.02 	14.1 	24.7 	7.73 	0.17
1877 	13 34 06.90 	09 15 43.20 	PGC 4544337 	1112 ± 11 	0.51 	−13.70 	7.30 	−10.09 	0.26 	1134 ± 2 	26 	39 	0.07 ± 0.02 	8.8 	8.1 	6.62 	−0.69
1879 	13 35 37.20 	14 21 39.40 	PGC 1456087 	993 ± 21 	0.78 	−13.81 	− 	− 	0.45 	1040 ± 7 	27 	49 	0.06 ± 0.03 	4.6 	4.0 	6.48 	−
1987M 	13 57 21.10 	26 12 27.20 	PGC 1767195 	2391 ± 4 	0.57 	−14.70 	7.52 	−9.55 	0.32 	2360 ± 6 	38 	72 	0.12 ± 0.03 	8.1 	10.1 	7.51 	−0.01
1988 	13 57 23.60 	05 34 25.20 	ASK 179268 	994 ± 20 	0.35 	−14.95 	− 	− 	0.36 	1008 ± 1 	42 	55 	0.17 ± 0.03 	10.3 	11.9 	6.93 	−
1998 	13 58 45.00 	24 09 05.00 	2MASX J13584501+2409048 	970 ± 2 	0.76 	−13.86 	7.34 	−9.86 	0.37 	984 ± 2 	63 	82 	0.30 ± 0.03 	11.2 	16.5 	7.14 	−0.19
2084 	14 17 07.50 	04 50 13.40 	ASK 99987 	1643 ± 1 	0.37 	−14.11 	7.09 	−9.35 	0.29 	1658 ± 3 	45 	73 	0.18 ± 0.02 	10.7 	14.6 	7.37 	0.28
2094 	14 19 29.08 	35 34 01.10 	ASK 392553 	3207 ± 1 	0.80 	−16.38 	8.39 	−9.80 	0.30 	3185 ± 6 	81 	106 	0.12 ± 0.03 	6.1 	7.5 	7.78 	−0.61
2099 	14 20 11.10 	10 15 46.50 	NGC 5562 	9142 ± 3 	1.61 	−21.84 	11.40 	−12.78 	0.56 	9187 ± 4 	140 	149 	0.18 ± 0.07 	3.4 	4.4 	8.87 	−2.53
2140 	14 28 08.70 	01 49 25.60 	ASK 082514 	1728 ± 29 	0.30 	−14.29 	− 	− 	0.29 	1728 ± 3 	25 	43 	0.08 ± 0.02 	8.6 	8.9 	7.06 	−
2225 	14 45 36.30 	34 10 43.80 	ASK 394208 	1642 ± 6 	0.40 	−14.51 	7.15 	−10.65 	0.43 	1630 ± 3 	35 	57 	0.21 ± 0.03 	10.8 	13.2 	7.42 	0.27
2236M 	14 48 58.99 	33 11 34.90 	CGCG 193-002 	1700 ± 2 	0.70 	−16.54 	8.33 	−9.97 	0.50 	1704 ± 2 	50 	77 	0.64 ± 0.04 	15.2 	28.9 	7.95 	−0.38
2301M 	15 18 57.00 	00 30 56.50 	PGC 1168006 	2082 ± 14 	0.58 	−14.59 	7.51 	−9.63 	0.36 	2098 ± 5 	60 	75 	0.08 ± 0.03 	3.8 	4.4 	7.21 	−0.30
